SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
APL-003-0006,"3 Megapixel Replacement Camera for iPhone 3GS",0.00,0.00,0.00,0.00,4.9500,1.0900,0.0000,,,,1.49,,,,,
APL-003-0036,"Metal Bracket for Mute Key for iPhone 3G 3GS",0.00,0.00,0.00,0.00,4.9500,0.9900,0.0000,,,0.30,,,,,,
APL-003-0042,"Proximity Sensor with Bracket for iPhone 3G 3GS",0.00,0.00,0.00,0.00,4.9500,2.0900,0.0000,,,,1.99,,,,,
APL-003-0084,"Vibrator Motor for iPhone 3G 3GS",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,0.60,1.49,,,,,
APL-003-0102,"Vibrator Mute On/Off Switch for iPhone 3G 3GS Black",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,0.30,,,,,,
APL-003-0108,"Vibrator Mute On/Off Switch for iPhone 3G 3GS White",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,0.30,,,,,,
APL-003-0114,"Complete Replacement Screws Set for iPhone 3G 3GS",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,0.30,,,,,,
APL-003-0156,"Replacement Home Button with Flex for iPhone 3G 3GS Cable Green",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,,1.99,,,,,
APL-003-0174,"iPhone 3G 3GS Replacement Home Button with Flex Cable - Red",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,,0.49,,,,,
APL-003-0186,"iPhone 3G 3GS Headphone Audio Flex Ribbon Cable Jack - Black",0.00,0.00,0.00,0.00,3.9500,2.5900,0.0000,,,,1.99,,,,,
APL-003-0192,"ATT iPhone 4 Proximity Light Sensor Power Flex",9.00,6.85,1.96,1.60,3.6800,2.9900,0.0000,2.19,7.99,,1.99,,,,,
APL-003-0210,"ATT iPhone 4 Camera Front-Facing",0.00,0.00,0.00,0.00,3.9500,1.4900,0.0000,3.49,,0.99,1.49,,,,,
APL-003-0216,"ATT iPhone 4 Signal Antenna Cover Cable",5.00,6.14,2.16,1.17,2.8080,2.1900,0.0000,,,,0.99,,,,,
APL-003-0228,"ATT iPhone 4 Sim Card Tray",1.50,6.12,1.80,0.54,1.3500,1.1900,0.0000,0.99,,,0.99,,,,,
APL-003-0234,"iPhone 4 4S Ear Piece Speaker",1.00,6.88,0.15,0.17,1.1550,0.6900,0.0000,0.75,2.99,,0.99,,,,,
APL-003-0240,"iPhone 4 Camera Back-Facing",12.00,6.12,1.53,2.21,4.9725,3.6900,0.0000,1.99,,2.50,2.99,,,,,
APL-003-0252,"iPhone 4 Vibrator Motor",4.00,6.12,1.53,0.90,2.2500,1.8900,0.0000,1.99,,0.50,0.99,,,,,
APL-003-0258,"iPhone 4 Complete Replacement Screws Set",3.50,6.10,0.90,0.72,1.8000,1.5900,0.0000,1.49,,0.30,1.49,,,,,
APL-003-0264,"iPhone 4 Home Button - Black",1.50,6.88,0.15,0.24,1.4700,0.8900,0.0000,,,0.30,0.99,,,,,
APL-003-0270,"iPhone 4 Home Button - White",1.50,6.89,3.15,0.67,1.3500,1.1900,0.0000,,,0.30,0.99,,,,,
APL-003-0276,"iPhone 4 Home Button - Red",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,0.30,1.49,,,,,
APL-003-0324,"Verizon/Sprint iPhone 4 Signal Antenna Metal Cover Cable",0.00,0.00,0.00,0.00,3.9500,1.9900,0.0000,,,,0.49,,,,,
APL-003-0330,"Verizon/Sprint iPhone 4 Charging Port Flex Cable Ribbon - Black",10.00,6.85,1.44,1.67,4.1200,3.3900,0.0000,2.99,7.99,,1.99,,,,,
APL-003-0336,"Verizon/Sprint iPhone 4 Headphone Audio Flex Ribbon Cable",12.00,6.10,0.90,2.11,4.9725,3.6900,0.0000,2.99,,,1.49,,,,,
APL-003-0342,"Verizon/Sprint iPhone 4 Proximity Light Sensor Power Flex",7.00,6.32,0.83,1.24,2.9760,2.2900,0.0000,2.39,7.99,,1.99,,,,,
APL-003-0366,"iPhone 4 4S Phillips Cross Replacement Screws",1.00,6.32,0.00,0.16,2.0500,1.7900,0.0000,,,0.30,1.99,,,,,
APL-003-0378,"iPhone 4 4S LCD Testing Module",8.00,6.88,4.11,1.76,3.4300,2.6900,0.0000,4.49,,1.50,2.99,,,,,
APL-003-0384,"iPhone 4 4S Metal Buttons",4.00,6.70,2.17,0.92,2.5440,1.9900,0.0000,0.99,,0.30,0.99,,,,,
APL-003-0390,"iPhone 4S Proximity Light Sensor Power Flex",8.00,6.70,1.45,1.41,3.4800,2.6900,0.0000,2.29,7.99,1.50,1.49,,,,,
APL-003-0396,"iPhone 4S Camera - Back Facing - 8 Megapixel - Original",0.00,0.00,0.00,0.00,3.9500,0.9900,0.0000,2.50,7.99,2.50,2.49,,,,,
APL-003-0402,"iPhone 4S Complete Replacement Screw Set",2.00,6.50,1.94,0.61,1.8000,1.5900,0.0000,1.89,,0.30,0.99,,,,,
APL-003-0408,"iPhone 4S Camera - Front Facing",8.00,6.88,0.15,1.18,3.7720,3.0900,0.0000,3.79,,,1.49,,,,,
APL-003-0420,"iPhone 4S FPC Battery Connector Clip",0.00,0.00,0.00,0.00,2.9500,0.4900,0.0000,,,,1.49,,,,,
APL-003-0426,"Verizon/Sprint iPhone 4 Vibrator Module",0.00,0.00,0.00,0.00,2.9500,4.9900,0.0000,1.99,,0.30,,,,,,
APL-003-0432,"iPhone 4S Signal Antenna Metal Cover Cable",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,2.99,4.99,,0.99,,,,,
APL-003-0438,"iPhone 4S Charging Dock Flex Cable - Black",8.00,6.88,0.15,1.18,4.3240,3.4900,0.0000,2.99,7.99,2.00,3.99,,,,,
APL-003-0444,"iPhone 4S Home Button Flex Cable",1.00,6.88,0.15,0.17,0.9800,0.5900,0.0000,1.49,4.99,,0.49,,,,,
APL-003-0450,"iPhone 4S Headphone Jack Volume Vibrator Switch Flex - Black",9.00,6.85,1.23,1.49,4.4850,3.6900,0.0000,3.49,7.99,0.99,2.49,,,,,
APL-003-0462,"iPhone 4S Home Button - Black",0.00,0.00,0.00,0.00,2.9500,0.6900,0.0000,1.49,,0.60,,,,,,
APL-003-0522,"Front Camera with Proximity Sensor Flex Cable for iPhone 5",7.00,6.88,1.13,1.18,3.1000,2.3900,0.0000,1.79,7.99,1.68,2.99,,,,,
APL-003-0528,"iPhone 5 Back Camera Flex Cable",20.00,6.88,0.15,2.93,7.9800,6.7200,0.0000,3.75,9.99,3.99,5.99,,,,,
APL-003-0534,"iPhone 5 Mute Volume Power Metal Buttons - Black",7.00,6.43,1.41,1.31,3.3840,2.6900,0.0000,1.99,,0.99,0.00,,,,,
APL-003-0540,"iPhone 5 Mute Volume Power Metal Buttons - White",6.00,6.50,1.90,1.22,2.8600,2.2900,0.0000,1.99,,0.99,0.99,,,,,
APL-003-0546,"iPhone 5 Vibrator Motor",6.00,6.50,1.94,1.22,2.9300,2.2900,0.0000,2.98,3.99,,1.99,,,,,
APL-003-0552,"iPhone 5 SIM Card Tray - Silver",2.00,6.82,1.80,0.56,1.4000,1.1800,0.0000,1.89,3.99,,0.99,,,,,
APL-003-0558,"iPhone 5 SIM Card Tray - Black",2.00,6.70,1.45,0.51,1.5500,1.3900,0.0000,,3.99,,0.99,,,,,
APL-003-0564,"Headphone Jack Charging Port Flex Cable for iPhone 5 Black",9.00,6.89,2.21,1.63,4.0300,3.2900,0.0000,,7.99,1.80,3.99,,,,,
APL-003-0570,"Home Button for iPhone 5 White",1.50,6.89,3.15,0.67,1.4700,0.8900,0.0000,1.09,,0.40,1.99,,,,,
APL-003-0576,"Home Button for iPhone 5 Black",1.50,6.89,3.15,0.67,1.4700,0.8900,0.0000,1.09,,0.99,1.99,,,,,
APL-003-0582,"Loud Speaker Module for iPhone 5",6.00,6.88,0.15,0.89,2.8100,2.1900,0.0000,1.39,4.99,1.99,2.99,,,,,
APL-003-0588,"Headphone Jack Charging Port Flex Cable for iPhone 5 White",10.00,6.89,3.15,1.91,4.6000,3.7000,0.0000,,7.99,1.80,3.99,,,,,
APL-003-0618,"Power Volume Flex Cable for iPhone 5",8.00,6.82,0.90,1.30,3.4600,2.6900,0.0000,2.99,7.99,2.00,3.99,,,,,
APL-003-0654,"Charging Port for iPod Touch 2 3",0.00,0.00,0.00,0.00,3.9500,1.6900,0.0000,,,0.99,,,,,,
APL-003-0684,"Charging Port Module for iPod Touch 4",5.00,6.70,1.45,0.96,2.4250,2.0900,0.0000,,4.99,0.99,1.49,,,,,
APL-003-0690,"Front Camera for iPod Touch 4",0.00,0.00,0.00,0.00,3.9500,1.4900,0.0000,1.49,7.99,0.60,,,,,,
APL-003-0696,"Audio Headphone Jack Flex Cable for iPod Touch 4",4.00,6.12,1.80,0.95,2.3750,2.0900,0.0000,0.99,4.99,,0.99,,,,,
APL-003-0702,"Home Button for iPod Touch 4 Flex",2.00,6.12,1.80,0.62,1.5500,1.3900,0.0000,,,0.50,2.99,,,,,
APL-003-0708,"Loud Speaker Buzzer Flex for iPod Touch 4",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,0.99,,,0.49,,,,,
APL-003-0714,"Power Volume Flex Cable for iPod Touch 4",4.00,6.85,2.24,0.91,2.0800,1.7900,0.0000,0.99,,0.99,2.99,,,,,
APL-003-0720,"Rear Camera for iPod Touch 4",0.00,0.00,0.00,0.00,3.9500,1.4900,0.0000,1.49,4.99,0.90,0.49,,,,,
APL-003-0726,"Wifi Flex Cable for iPod Touch 4",6.00,6.28,1.87,1.25,3.0000,2.3900,0.0000,0.99,4.99,,1.49,,,,,
APL-003-0834,"Audio Headphone Jack Flex Cable GSM Version for iPad 2",10.00,6.85,1.96,1.75,4.1170,3.3900,0.0000,2.49,7.99,1.50,6.99,,,,,
APL-003-0840,"Audio Headphone Jack Flex Cable WIFI / CDMA Version for iPad 2 821-1378-A",8.00,6.43,0.00,1.24,4.0900,3.2900,0.0000,2.19,7.99,1.80,2.99,,,,,
APL-003-0846,"Rear Camera for iPad 2",10.00,6.70,3.59,2.03,4.0710,3.2900,0.0000,4.99,,0.80,1.99,,,,,
APL-003-0852,"Camera Front Facing for iPad 2",10.00,6.88,0.15,1.48,4.3240,3.4900,0.0000,,,0.60,2.99,,,,,
APL-003-0858,"Charging Port Dock Flex Cable for iPad 2",10.00,6.88,0.15,1.48,3.6110,2.9900,0.0000,4.72,7.99,1.50,2.99,,,,,
APL-003-0864,"LCD Screen Connector Flex Cable for iPad 2",25.00,6.85,0.68,3.75,8.0400,6.3900,0.0000,5.29,7.99,5.50,,,,,,
APL-003-0870,"Internal Loudspeaker for iPad 2",18.00,6.88,0.15,2.64,4.4390,3.5900,0.0000,4.00,,1.68,2.99,,,,,
APL-003-0876,"Volume Vibrator Switch Power Button Flex Cable CDMA Version for iPad 2 (EMC 2560)",13.00,6.89,2.07,2.19,3.0720,2.3900,0.0000,3.95,7.99,1.99,4.99,,,,,
APL-003-0882,"iPad 2 Volume Vibrator Switch Power Button Flex Cable - GSM / WIFI Version (2011)",13.00,6.89,2.07,2.19,2.6600,2.0900,0.0000,3.79,7.99,1.99,,,,,,
APL-003-0888,"Volume and Mute Side Buttons for iPad 2",3.00,6.85,1.23,0.62,1.7800,1.4900,0.0000,1.29,3.99,0.80,,,,,,
APL-003-0894,"WIFI Bluetooth Signal Antenna Flex Cable for iPad 2",7.00,6.89,2.07,1.32,2.9760,2.2900,0.0000,2.49,7.99,1.50,2.99,,,,,
APL-003-0900,"Micro SIM Card Tray Holder for iPad 2",0.00,0.00,0.00,0.00,3.9500,1.4900,0.0000,,,0.00,,,,,,
APL-003-0948,"Home Button Circuit Control Board for iPad 2 3",3.00,6.46,2.54,0.86,1.7000,1.4900,0.0000,,,,0.99,,,,,
APL-003-0954,"Wifi & Bluetooth Flex Cable for iPad 3/4",7.00,6.82,2.24,1.35,3.2400,2.5000,0.0000,2.49,7.99,1.99,,,,,,
APL-003-0960,"Charging Port Flex Cable for iPad 3",25.00,6.89,1.72,3.88,3.8410,3.0900,0.0000,2.99,7.99,3.80,5.99,,,,,
APL-003-0966,"GPS Antenna Flex Cable for iPad 3",0.00,0.00,0.00,0.00,3.9500,1.6900,0.0000,2.29,4.99,,,,,,,
APL-003-0972,"Headphone Audio Jack Flex Cable WIFI Version for iPad 3",0.00,0.00,0.00,0.00,5.9500,3.1900,0.0000,,,1.99,2.99,,,,,
APL-003-0978,"Power On Off Volume Flex Cable for iPad 3",10.00,6.88,4.11,2.05,4.1170,3.3900,0.0000,5.99,7.99,1.20,2.99,,,,,
APL-003-0984,"Home Button Circuit Control Board for iPad 2 3",2.00,6.43,0.36,0.37,1.5250,1.2900,0.0000,,,0.50,1.99,,,,,
APL-003-0990,"Headphone Audio Jack Flex Cable for iPad Mini White",10.00,6.85,3.80,2.01,4.2100,3.3900,0.0000,2.19,7.99,,1.99,,,,,
APL-003-0996,"WiFi & Bluetooth Left Antenna for iPad Mini & iPad Mini 2",6.00,6.88,0.15,0.89,3.0000,2.3900,0.0000,4.29,,0.80,1.99,,,,,
APL-003-1002,"Charging Port Flex Cable Assembly for iPad Mini White",10.00,6.85,3.80,2.01,4.5200,3.3200,0.0000,4.85,7.99,1.20,2.99,,,,,
APL-003-1008,"WiFi & Bluetooth Right Antenna for iPad Mini & iPad Mini 2",9.00,6.82,2.24,1.65,3.8000,3.0500,0.0000,3.29,,1.50,1.99,,,,,
APL-003-1014,"Home Button Flex Cable for iPad Mini & iPad Mini 2",8.00,6.13,2.07,1.64,3.7720,3.0900,0.0000,,7.99,0.00,2.99,,,,,
APL-003-1026,"Left and Right Cellular Antenna Set for iPad Mini &amp; iPad Mini 2",8.00,6.88,0.15,1.18,3.3600,2.5900,0.0000,,,,2.99,,,,,
APL-002-0820,"Touch Screen Digitizer Mid-Frame Bezel for iPad 2 3 4 Black",4.00,6.88,4.11,1.18,2.2750,1.9100,0.0000,1.25,2.99,0.99,1.99,,,,,
APL-002-0821,"Touch Screen Digitizer Mid-Frame Bezel for iPad 2 3 4 White",4.00,6.88,4.11,1.18,2.0500,1.7900,0.0000,1.25,2.99,0.99,1.99,,,,,
APL-001-0090,"LCD Screen for iPhone 3GS",0.00,0.00,0.00,0.00,15.9500,15.0900,0.0000,,12.99,,,,,,,
APL-001-0096,"LCD and Touch Screen Digitizer for ATT iPhone 4 Black",70.00,6.88,1.13,10.34,15.9500,12.9900,0.0000,11.50,19.99,13.98,,,,,,
APL-001-0102,"LCD and Touch Screen Digitizer for ATT iPhone 4 White",70.00,6.89,1.72,10.41,15.9500,12.9900,0.0000,11.50,19.99,13.98,14.99,,,,,
APL-001-0186,"LCD and Touch Screen Digitizer for Verizon/Sprint iPhone 4 Black",70.00,6.88,4.11,10.77,15.9500,12.9900,0.0000,11.50,19.49,13.98,,,,,,
APL-001-0276,"LCD and Touch Screen Digitizer for iPhone 4S Black",70.00,6.88,4.11,10.77,17.0900,13.9900,0.0000,11.50,19.49,13.98,14.99,,,,,
APL-001-0282,"LCD and Touch Screen Digitizer for iPhone 4S White",30.00,6.85,3.53,4.89,14.9500,13.9900,0.0000,11.50,19.99,13.98,,,,,,
APL-001-0410,"LCD Touch Screen Digitizer Assembly for iPhone 5 (Economy Plus) - Black",9.00,1.00,0.00,9.00,16.9900,13.4900,0.0000,13.50,19.99,13.80,14.99,,,13.00,,
APL-001-0411,"LCD Touch Screen Digitizer Assembly for iPhone 5 (Economy Plus) - White",9.00,1.00,0.47,9.47,16.9900,13.4900,0.0000,13.00,19.99,13.80,14.99,,,,,
APL-001-0408,"LCD Screen for iPad 1",230.00,6.50,2.93,35.84,52.8550,48.0900,0.0000,,47.99,,,,,,,
APL-001-0462,"LCD Screen for iPad 2",220.00,6.82,8.40,33.49,47.6900,43.3900,0.0000,42.50,49.99,42.99,43.99,,,,,
APL-001-0522,"LCD Screen Replacement for iPad Mini (Non-Retina)",180.00,6.89,1.72,26.37,38.6700,35.9100,0.0000,35.50,37.99,34.98,31.99,,,,,
APL-001-0528,"LCD Screen for iPod Touch 1",0.00,0.00,0.00,0.00,6.9500,5.9900,0.0000,,,2.99,,,,,,
APL-001-0534,"Touch Screen Digitizer for iPod Touch 1",0.00,0.00,0.00,0.00,5.9500,5.7900,0.0000,,,1.99,,,,,,
APL-001-0540,"Touch Screen Digitizer for iPod Touch 2 Black",20.00,6.46,2.08,3.42,7.8500,6.1900,0.0000,,,0.99,,,,,,
APL-001-0564,"Touch Screen Digitizer for iPod Touch 3",0.00,0.00,0.00,0.00,5.9500,5.7900,0.0000,,,0.99,,,,,,
APL-001-0576,"Touch Screen Glass Digitizer with Frame and Home Button for iPod Touch 3",20.00,6.43,7.42,4.26,8.0900,6.8900,0.0000,,,0.99,,,,,,
APL-001-0588,"LCD and Touch Screen Digitizer for iPod Touch 4 Black",60.00,6.85,13.41,10.72,16.4390,13.2500,0.0000,14.50,14.99,13.98,12.99,,,,,
APL-001-0594,"LCD and Touch Screen Digitizer for iPod Touch 4 - White",60.00,6.85,13.41,10.72,17.3440,14.9900,0.0000,14.50,17.99,13.98,12.99,,,,,
APL-001-0600,"LCD and Touch Screen Digitizer for iPod Touch 4 Baby Blue",70.00,6.32,2.19,11.42,17.7000,15.6900,0.0000,,,,13.99,,,,,
BKB-MOD-054,"Blackberry Bold 9700 Trackpad Home Button - Black",0.00,0.00,0.00,0.00,5.9500,5.9900,0.0000,,,1.50,,,,,,
BTY-BKB-006,"Blackberry Bold 9780 9700 9000 Replacement Battery",0.00,0.00,0.00,0.00,3.9500,3.4900,0.0000,,,1.99,,,,,,
BTY-HTC-012,"HTC Aria BB92100 Replacement Battery",0.00,0.00,0.00,0.00,6.9500,2.9900,0.0000,,,1.99,,,,,,
BTY-HTC-030,"HTC Evo 4G BB96100 / RHOD160 Replacement Battery",0.00,0.00,0.00,0.00,6.9500,2.9900,0.0000,,,1.99,0.49,,,,,
FLX-HTC-006,"HTC Amaze Audio Headphone Jack Earpiece Speaker Flex Cable",0.00,0.00,0.00,0.00,12.9500,10.4900,0.0000,,,0.99,,,,,,
FLX-HTC-030,"HTC Aria MicroSD SIM Card Port Flex Cable",0.00,0.00,0.00,0.00,8.9500,6.3900,0.0000,,,0.99,,,,,,
FLX-HTC-120,"HTC HD2 T8585 GPS Antenna Board Flex Cable",0.00,0.00,0.00,0.00,3.9500,1.6900,0.0000,,,0.99,,,,,,
FLX-HTC-126,"HTC HD2 T8585 Keyboard Keypad Flex Cable",0.00,0.00,0.00,0.00,4.9500,2.1900,0.0000,,,1.50,,,,,,
FLX-HTC-174,"HTC Droid Incredible 2 S Simcard Port Flex Cable",0.00,0.00,0.00,0.00,5.9500,3.1900,0.0000,,,0.99,,,,,,
FLX-HTC-228,"HTC Mytouch 4G Sim Card Memory SD Card Flex Cable",0.00,0.00,0.00,0.00,8.9500,6.8900,0.0000,,,1.50,,,,,,
FLX-HTC-240,"HTC Mytouch 4G Slide Microphone Audio Power Main Flex Cable",0.00,0.00,0.00,0.00,13.9500,11.2900,0.0000,,,0.99,,,,,,
FLX-HTC-246,"HTC MyTouch 4G Slide PCB Slide Ribbon Flex Cable",0.00,0.00,0.00,0.00,12.9500,10.0900,0.0000,,,,0.49,,,,,
FLX-HTC-252,"HTC One V On/Off Power Button Volume Flex Cable",0.00,0.00,0.00,0.00,6.9500,4.6900,0.0000,,,1.50,,,,,,
FLX-HTC-258,"HTC One X Dock Connector with PCB Board Flex Cable",0.00,0.00,0.00,0.00,8.9500,6.3900,0.0000,,,0.80,,,,,,
FLX-HTC-264,"HTC One X S720e G23 Micro SIM Card Tray Holder - Black",0.00,0.00,0.00,0.00,3.9500,1.1900,0.0000,,,0.50,,,,,,
FLX-HTC-270,"HTC One X  Micro SIM Card Tray Holder - White",0.00,0.00,0.00,0.00,3.9500,1.1900,0.0000,,,0.50,,,,,,
FLX-HTC-294,"HTC Radar 4G Audio Jack Power On Off Main PCB Flex Cable",0.00,0.00,0.00,0.00,19.9500,17.4900,0.0000,,,16.99,,,,,,
FLX-HTC-306,"HTC Radar 4G Sim Card Flex Cable",0.00,0.00,0.00,0.00,8.9500,6.3900,0.0000,,,0.99,,,,,,
FLX-HTC-318,"HTC Rezound Sim Card Flex Cable",0.00,0.00,0.00,0.00,5.9500,3.8900,0.0000,,,0.99,,,,,,
FLX-HTC-336,"HTC Sensation Main Power Audio Ribbon Flex Cable",40.00,6.15,3.05,7.00,12.2500,10.2900,0.0000,,,5.99,,,,,,
FLX-HTC-348,"HTC Sensation Side Volume Key Button Ribbon Flex Cable",0.00,0.00,0.00,0.00,4.9500,2.1900,0.0000,,,0.60,,,,,,
FLX-HTC-354,"HTC Sensation Sim Card Memory Card Flex Cable",0.00,0.00,0.00,0.00,5.9500,3.8900,0.0000,,,0.99,,,,,,
FLX-HTC-390,"HTC Desire Z T-mobile G2 Trackball Joystick Navigation Key Flex Cable",0.00,0.00,0.00,0.00,14.9500,12.6900,0.0000,,,0.99,,,,,,
FLX-HTC-426,"HTC Wildfire Volume Key Ribbon Flex Cable",0.00,0.00,0.00,0.00,3.9500,1.9900,0.0000,,,0.99,,,,,,
SRN-HTC-042,"HTC ATT Freestyle Touch Screen Digitizer",25.00,6.32,8.97,5.38,10.1340,8.7900,0.0000,,,2.99,,,,,,
SRN-HTC-090,"HTC Droid Incredible 4G LTE Touch Screen Digitizer",25.00,6.32,6.73,5.02,8.5500,7.2900,0.0000,,,3.99,,,,,,
SRN-HTC-102,"HTC Evo 3D Touch Screen Digitizer",20.00,6.82,8.90,4.24,8.0600,6.7800,0.0000,,,2.99,,,,,,
SRN-HTC-156,"HTC Evo 4G LTE Touch Screen Digitizer",35.00,6.50,6.88,6.44,11.2700,9.4900,0.0000,,,1.99,,,,,,
SRN-HTC-168,"HTC Evo Shift 4G Touch Screen Digitizer",25.00,6.32,6.88,5.04,9.0700,7.8900,0.0000,,,3.99,,,,,,
SRN-HTC-198,"HTC G2 / Desire Z Touch Screen Digitizer",25.00,6.32,6.88,5.04,9.0700,7.8900,0.0000,,,1.99,,,,,,
SRN-HTC-204,"HTC HD2 Tmobile Touch Screen Digitizer",4.00,1.00,0.25,4.25,12.9500,8.8900,0.0000,,,5.50,,,,,,
SRN-HTC-222,"HTC HD7 Touch Screen Digitizer",0.00,0.00,0.00,0.00,10.9500,8.8900,0.0000,,,4.99,,,,,,
SRN-HTC-234,"HTC HD7S Touch Screen Digitizer",0.00,0.00,0.00,0.00,10.9500,8.8900,0.0000,,,4.99,,,,,,
SRN-HTC-264,"HTC MyTouch 3G Slide LCD Screen",25.00,6.13,8.51,5.47,9.8460,8.4900,0.0000,,,0.20,,,,,,
SRN-HTC-270,"HTC MyTouch 3G Slide Touch Screen Digitizer",0.00,0.00,0.00,0.00,7.9500,7.8900,0.0000,,,2.99,,,,,,
SRN-HTC-288,"HTC Mytouch 4G LCD Screen",0.00,0.00,0.00,0.00,11.9500,11.8900,0.0000,,,,5.49,,,,,
SRN-HTC-306,"HTC Mytouch 4G Touch Screen Digitizer",25.00,6.14,11.11,5.88,10.5840,9.1900,0.0000,,,,2.49,,,,,
SRN-HTC-312,"HTC One S LCD + Touch Screen Digitizer",90.00,6.13,9.09,16.16,23.4320,21.4900,0.0000,,,15.99,,,,,,
SRN-HTC-324,"HTC One X Front Housing LCD + Touch Screen Digitizer",125.00,6.50,1.05,19.39,28.1200,25.7900,0.0000,,,17.99,,,,,,
SRN-HTC-342,"HTC Rezound LCD Screen",0.00,0.00,0.00,0.00,28.9500,17.7900,0.0000,,,9.99,,,,,,
SRN-HTC-354,"HTC Rhyme Touch Screen Digitizer",0.00,0.00,0.00,0.00,10.9500,10.8900,0.0000,,,2.50,,,,,,
SRN-HTC-378,"HTC Sensation Touch Screen Digitizer",0.00,0.00,0.00,0.00,14.9500,9.8900,0.0000,,,7.50,,,,,,
SRN-HTC-426,"HTC Thunderbolt Touch Screen Digitizer",0.00,0.00,0.00,0.00,8.9500,7.8900,0.0000,,,2.99,,,,,,
SRN-HTC-498,"HTC Wildfire S LCD Screen",0.00,0.00,0.00,0.00,7.9500,7.8900,0.0000,,,2.99,,,,,,
